EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
-0.29,-0.08,3,-0.074074074,-0.024777637
0.3,0.26,1,-0.014423065,-0.039024463
0.44,0.36,1,0.044632771,-0.023722593
0.44,0.65,1,0.000849543,0.033634748
0.23,0.28,1,-0.005797124,0.005797061
0.27,0.38,2,-0.018867898,0.010989004
1.6,1.58,14,0.039735101,0.064892812
-0.1,-0.06,1,0.012825349,-0.06321612
0.91,0.87,11,0.03167953,0.027784133
0.59,0.52,9,-0.03681246,0.04230858
1.34,1.31,3,0.080328992,0.003454491
1.28,1.28,4,-0.00551615,-0.048469383
0.48,0.42,15,0.041176478,0.11377356
0.46,0.46,4,0.055937136,-0.007619052
0.44,0.46,4,0.119656186,0.134278565
0.5,0.42,2,0.032571429,0.066280566
0.15,0.12,3,0.064864865,0.060514373
-0.32,-0.31,5,0.040848386,0.017828217
1.19,1.18,2,-0.124617403,-0.034406705
